geneid	funcatid	gotermid	pubmedid
NCU00772	30.01	 GO:0007242	PMID:15486203
NCU00775	01.05	 GO:0005975	PMID:15486203
NCU00775	02.10	 GO:0006099	PMID:15486203
NCU00775	70.16	 GO:0005739	PMID:15486203
NCU00782	20.01.23	 GO:0015720	PMID:15486203
NCU00790	20.01.01.01	 GO:0006812	PMID:15486203
NCU00792	01.01.11.02.01	 GO:0009097	PMID:15486203
NCU00792	01.01.11.02.02	 GO:0006550	PMID:15486203
NCU00792	01.01.11.03.01	 GO:0009099	PMID:15486203
NCU00792	01.01.11.03.02	 GO:0006574	PMID:15486203
NCU00792	01.01.11.04.01	 GO:0009098	PMID:15486203
NCU00792	01.01.11.04.02	 GO:0006552	PMID:15486203
NCU00793	01.05	 GO:0005975	PMID:15486203
NCU00793	02.19	 GO:0006112	PMID:15486203
NCU00794	16.01	 GO:0005515	PMID:15486203
NCU00794	18.02.01	 GO:0050790	PMID:15486203
NCU00794	30.05.02.14	 GO:0007219	PMID:15486203
NCU00795	20.01.01.01	 GO:0006812	PMID:15486203
NCU00795	20.03.02.03	 GO:0015297	PMID:15486203
NCU00795	20.09.13	 GO:0007034	PMID:15486203
NCU00795	34.01.01.01	 GO:0006875	PMID:15486203
NCU00795	34.01.01.03	 GO:0030641	PMID:15486203
NCU00795	70.25	 GO:0005764	PMID:15486203
NCU00797	01.05	 GO:0005975	PMID:15486203
NCU00799	01.01.06.05.01	 GO:0009086	PMID:15486203
NCU00799	01.01.06.05.02	 GO:0009087	PMID:15486203
NCU00801	20.01.03	 GO:0008643	PMID:15486203
NCU00809	20.01.03	 GO:0008643	PMID:15486203
NCU00813	14.01	 GO:0006457	PMID:15486203
NCU00813	70.07	 GO:0005783	PMID:15486203
NCU00823	20.01.27	 GO:0015893	PMID:15486203
NCU00828	70.19	 GO:0005777	PMID:15486203
NCU00831	14.07.11	 GO:0016485	PMID:15486203
NCU00836	01.05	 GO:0005975	PMID:15486203
NCU00837	01.05	 GO:0005975	PMID:15486203
NCU00837	02.07	 GO:0006098	PMID:15486203
NCU00837	70.03	 GO:0005737	PMID:15486203
NCU00838	01.05	 GO:0005975	PMID:15486203
NCU00843	01.03.01	 GO:0006163	PMID:15486203
NCU00843	70.03	 GO:0005737	PMID:15486203
NCU00847	01.20	 GO:0019748	PMID:15486203
NCU00860	34.01.01.01	 GO:0006875	PMID:15486203
NCU00865	01.05	 GO:0005975	PMID:15486203
NCU00876	34.01.01.01	 GO:0006875	PMID:15486203
NCU00880	01.06	 GO:0006629	PMID:15486203
NCU00880	18.02.01.01	 GO:0043085	PMID:15486203
NCU00884	32.01	 GO:0006950	PMID:15486203
NCU00889	16.19.05	 GO:0005525	PMID:15486203
NCU00889	20.09.07	 GO:0016192	PMID:15486203
NCU00889	30.01.05.05	 GO:0007186	PMID:15486203
NCU00890	01.05.03	 GO:0000272	PMID:15486203
NCU00891	01.05	 GO:0005975	PMID:15486203
NCU00893	01.07	 GO:0006732	PMID:15486203
NCU00893	70.16	 GO:0005739	PMID:15486203
NCU00895	14.04	 GO:0006605	PMID:15486203
NCU00895	16.19.05	 GO:0005525	PMID:15486203
NCU00895	20.09.13	 GO:0007034	PMID:15486203
NCU00895	30.01	 GO:0007242	PMID:15486203
NCU00896	20.09.07	 GO:0016192	PMID:15486203
NCU00896	20.09.16.09.03	 GO:0006887	PMID:15486203
NCU00897	11.02.03.04	 GO:0045449	PMID:15486203
NCU00901	10.01.05	 GO:0006281	PMID:15486203
NCU00901	10.03.02	 GO:0007126	PMID:15486203
NCU00904	01.05	 GO:0005975	PMID:15486203
NCU00904	02.13	 GO:0045333	PMID:15486203
NCU00905	01.02	 GO:0006807	PMID:15486203
NCU00911	01.05.03	 GO:0000272	PMID:15486203
NCU00914	14.07.03	 GO:0006468	PMID:15486203
NCU00914	30.01	 GO:0007242	PMID:15486203
NCU00915	12.10	 GO:0004812	PMID:15486203
NCU00919	11.02.01	 GO:0009303	PMID:15486203
NCU00919	11.04.01	 GO:0006364	PMID:15486203
NCU00924	10	 GO:0007049	PMID:15486203
NCU00925	11.02.01	 GO:0009303	PMID:15486203
NCU00925	11.04.01	 GO:0006364	PMID:15486203
NCU00930	14.04	 GO:0006605	PMID:15486203
NCU00930	70.16	 GO:0005739	PMID:15486203
NCU00931	12.10	 GO:0004812	PMID:15486203
NCU00943	01.05	 GO:0005975	PMID:15486203
NCU00943	02.19	 GO:0006112	PMID:15486203
NCU00943	70.01	 GO:0005618	PMID:15486203
NCU00944	01.01.09.01.01	 GO:0006545	PMID:15486203
NCU00944	01.01.09.01.02	 GO:0006546	PMID:15486203
NCU00950	01.03.04	 GO:0006220	PMID:15486203
NCU00950	11.06.02	 GO:0006400	PMID:15486203
NCU00951	01.04	 GO:0006796	PMID:15486203
NCU00951	70.03	 GO:0005737	PMID:15486203
NCU00952	70.16	 GO:0005739	PMID:15486203
NCU00954	70.16	 GO:0005739	PMID:15486203
NCU00957	42.01	 GO:0007047	PMID:15486203
NCU00959	01.05	 GO:0005975	PMID:15486203
NCU00959	02.10	 GO:0006099	PMID:15486203
NCU00959	70.16	 GO:0005739	PMID:15486203
NCU00963	01.03.01	 GO:0006163	PMID:15486203
NCU00965	14.07.11	 GO:0016485	PMID:15486203
NCU00968	14.04	 GO:0006605	PMID:15486203
NCU00968	70.07	 GO:0005783	PMID:15486203
NCU00969	02.13.03	 GO:0009060	PMID:15486203
NCU00969	70.16	 GO:0005739	PMID:15486203
NCU00971	70.03	 GO:0005737	PMID:15486203
NCU00972	01.05.03	 GO:0000272	PMID:15486203
NCU00973	01.05	 GO:0005975	PMID:15486203
NCU00977	70.16	 GO:0005739	PMID:15486203
NCU00978	10.03.01	 GO:0000074	PMID:15486203
NCU00978	14.07.03	 GO:0006468	PMID:15486203
NCU00978	30.01	 GO:0007242	PMID:15486203
NCU00987	01.05	 GO:0005975	PMID:15486203
NCU00988	20.01.03	 GO:0008643	PMID:15486203
NCU00994	14.13	 GO:0030163	PMID:15486203
NCU00994	70.27	 GO:0005576	PMID:15486203
