geneid	geneidv1	geneidv2	geneidv3	geneidv4	geneidv5
NCU00227	NCU00227.1	NCU00227.2	NCU00227.3	NCU00227.4	NCU00227.5
NCU00229	NCU00229.1	NCU00229.2	NCU00229.3	NCU00229.4	NCU00229.5
NCU00230	NCU00230.1	NCU00230.2	NCU00230.3	NCU00230.4	NCU00230.5
NCU00231	NCU00231.1	NCU00231.2	NCU00231.3	NCU00231.4	NCU00231.5
NCU00232	NCU00232.1	NCU00232.2	NCU00232.3	NCU00232.4	NCU00232.5
NCU00233	NCU00233.1	NCU00233.2	NCU00233.3	NCU00233.4	NCU00233.5
NCU00234	NCU00234.1	NCU00234.2	NCU00234.3	NCU00234.4	NCU00234.5
NCU00236	NCU00236.1	NCU00236.2	NCU00236.3	NCU00236.4	NCU00236.5
NCU00237	NCU00237.1	NCU00237.2	NCU00237.3	NCU00237.4	NCU00237.5
NCU00238	NCU00238.1	NCU00238.2	NCU00238.3	NCU00238.4	NCU00238.5
NCU00239	NCU00239.1	NCU00239.2	NCU00239.3	NCU00239.4	NCU00239.5
NCU00240	NCU00240.1	NCU00240.2	NCU00240.3	NCU00240.4	NCU00240.5
NCU00241	NCU00241.1	NCU00241.2	NCU00241.3	NCU00241.4	NCU00241.5
NCU00242	NCU00242.1	NCU00242.2	NCU00242.3	NCU00242.4	NCU00242.5
NCU00243	NCU00243.1	NCU00243.2	NCU00243.3	NCU00243.4	NCU00243.5
NCU00244	NCU00244.1	NCU00244.2	NCU00244.3	NCU00244.4	NCU00244.5
NCU00245	NCU00245.1	NCU00245.2	NCU00245.3	NCU00245.4	NCU00245.5
NCU00246	NCU00246.1	NCU00246.2	NCU00246.3	NCU00246.4	NCU00246.5
NCU00247	NCU00247.1	NCU00247.2	NCU00247.3	NCU00247.4	NCU00247.5
NCU00248	NCU00248.1	NCU00248.2	NCU00248.3	NCU00248.4	NCU00248.5
NCU00249	NCU00249.1	NCU00249.2	NCU00249.3	NCU00249.4	NCU00249.5
NCU00250	NCU00250.1	NCU00250.2	NCU00250.3	NCU00250.4	NCU00250.5
NCU00251	NCU00251.1	NCU00251.2	NCU00251.3	NCU00251.4	NCU00251.5
NCU00252	NCU00252.1	NCU00252.2	NCU00252.3	NCU00252.4	NCU00252.5
NCU00253	NCU00253.1	NCU00253.2	NCU00253.3	NCU00253.4	NCU00253.5
NCU00254	NCU00254.1	NCU00254.2	NCU00254.3	NCU00254.4	NCU00254.5
NCU00257	NCU00257.1	NCU10656.2	NCU11177.3	NCU11177.4	NCU00257.5
NCU00258	NCU00258.1	NCU00258.2	NCU00258.3	NCU00258.4	NCU00258.5
NCU00259	NCU00259.1	NCU10656.2	NCU11178.3	NCU11178.4	NCU00259.5
NCU00260	NCU00260.1	NCU10656.2	NCU11179.3	NCU11179.4	NCU00260.5
NCU00261	NCU00261.1	NCU00261.2	NCU00261.3	NCU00261.4	NCU00261.5
NCU00262	NCU00262.1	NCU00262.2	NCU00262.3	NCU00262.4	NCU00262.5
NCU00263	NCU00263.1	NCU00263.2	NCU00263.3	NCU00263.4	NCU00263.5
NCU00264	NCU00264.1	NCU00264.2	NCU00264.3	NCU00264.4	NCU00264.5
NCU00265	NCU00265.1	NCU00265.2	NCU00265.3	NCU00265.4	NCU00265.5
NCU00267	NCU00267.1	NCU00267.2	NCU00267.3	NCU00267.4	NCU00267.5
NCU00268	NCU00268.1	NCU00268.2	NCU00268.3	NCU00268.4	NCU00268.5
NCU00269	NCU00269.1	NCU00269.2	NCU00269.3	NCU00269.4	NCU00269.5
NCU00270	NCU00270.1	NCU00270.2	NCU00270.3	NCU00270.4	NCU00270.5
NCU00271	NCU00271.1	NCU00271.2	NCU00271.3	NCU00271.4	NCU00271.5
NCU00272	NCU00272.1	NCU00272.2	NCU00272.3	NCU00272.4	NCU00272.5
NCU00273	NCU00273.1	NCU00273.2	NCU00273.3	NCU00273.4	NCU00273.5
NCU00274	NCU00274.1	NCU00274.2	NCU00274.3	NCU00274.4	NCU00274.5
NCU00275	NCU00275.1	NCU00275.2	NCU00275.3	NCU00275.4	NCU00275.5
NCU00276	NCU00276.1	NCU00276.2	NCU00276.3	NCU00276.4	NCU00276.5
NCU00277	NCU00277.1	NCU00277.2	NCU00277.3	NCU00277.4	NCU00277.5
NCU00278	NCU00278.1	NCU00278.2	NCU00278.3	NCU00278.4	NCU00278.5
NCU00279	NCU00279.1	NCU00279.2	NCU00279.3	NCU00279.4	NCU00279.5
NCU00280	NCU00280.1	NCU00280.2	NCU00280.3	NCU00280.4	NCU00280.5
NCU00281	NCU00281.1	NCU00281.2	NCU00281.3	NCU00281.4	NCU00281.5
NCU00282	NCU00282.1	NCU00282.2	NCU00282.3	NCU00282.4	NCU00282.5
NCU00283	NCU00283.1	NCU00283.2	NCU00283.3	NCU00283.4	NCU00283.5
NCU00284	NCU00284.1	NCU00284.2	NCU00284.3	NCU00284.4	NCU00284.5
NCU00285	NCU00285.1	NCU00285.2	NCU00285.3	NCU00285.4	NCU00285.5
NCU00287	NCU00287.1	NCU10557.2	NCU10557.3	NCU10557.4	NCU00287.5
NCU00288	NCU00288.1	NCU00288.2	NCU00288.3	NCU00288.4	NCU00288.5
NCU00289	NCU00289.1	NCU00289.2	NCU00289.3	NCU00289.4	NCU00289.5
NCU00290	NCU00290.1	NCU00290.2	NCU00290.3	NCU00290.4	NCU00290.5
NCU00291	NCU00291.1	NCU00291.2	NCU00291.3	NCU00291.4	NCU00291.5
NCU00292	NCU00292.1	NCU00292.2	NCU00292.3	NCU00292.4	NCU00292.5
NCU00293	NCU00293.1	NCU00293.2	NCU00293.3	NCU00293.4	NCU00293.5
NCU00294	NCU00294.1	NCU00294.2	NCU00294.3	NCU00294.4	NCU00294.5
NCU00295	NCU00295.1	NCU00295.2	NCU00295.3	NCU00295.4	NCU00295.5
NCU00296	NCU00296.1	NCU00296.2	NCU00296.3	NCU00296.4	NCU00296.5
NCU00297	NCU00297.1	NCU00297.2	NCU00297.3	NCU00297.4	NCU00297.5
NCU00298	NCU00298.1	NCU00298.2	NCU00298.3	NCU00298.4	NCU00298.5
NCU00299	NCU00299.1	NCU00299.2	NCU00299.3	NCU00299.4	NCU00299.5
